#OTU ID	EA0101	EA0102	EA0103	EA0104	EA0105	EA0106	EA0107	EA0108	EA0109	EA0110	EA0111	EA0112	EA0113	EA0114	EA0115	EA0116	EA0117	EA0118	EA0119	EA0120	EA0121	EA0122	EA0123	EA0124	EA0125	EA0126	EA0127	EA0128	EA0129	EA0130	EA0131	EA0132	EA0133	EA0134	EA0135	EA0136	EA0137	EA0138	EA0139	EA0140	EA0141	EA0142	EA0143	EA0144	EA0145	EA0146	EA0147	EA0148	EA0149	EA0150	EA0151	EA0152	EA0153	EA0154	EA0155	EA0156	EA0157	EA0158	EA0159	EA0160	EA0161	EA0162	EA0163	EA0164	EA0165	EA0166	EA0167	EA0168	EA0169	EA0170	EA0171	EA0172	EA0173	EA0174	EA0175	EA0176	EA0177	EA0178	EA0179	EA0180	EA0181	EA0182	EA0183	EA0184	EA0185	EA0186	EA0187	EA0188	EA0189	EA0190	EA0191	EA0192	EA0193	EA0194	EA0195	EA0196
Zotu3679	26	0	5	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	39	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu41	2477	531	130	145	22	241	482	374	590	190	41	639	194	2113	106	1	0	0	78	42	7	30	10	25	165	39	44	10	18	45	47	233	0	0	0	0	2	12	4	3	21	11	14	0	16	3	6	16	22	20	3	4	10	2	3	2	5	3	2	1	0	1	1	0	0	1	0	2	1	0	1	9	3	49	3	6	12	0	6	35	1	1	7	246	2	57	7	6	104	2	1	59	100	0	1	0
Zotu113	100	10	356	75	708	413	40	9	69	13	259	136	579	366	182	0	0	0	8	4	41	15	330	168	31	6	20	6	152	72	119	227	0	0	0	0	0	4	2	3	6	5	0	0	5	0	0	5	16	6	1	1	0	0	1	0	0	0	0	0	2	1	0	0	2	1	0	1	0	0	1	1	1	0	0	4	2	0	2	0	1	0	2	0	1	1	0	2	1	0	0	0	0	0	0	0
Zotu442	77	247	1	3	0	0	4	1	3	24	1	19	0	3	1	0	0	0	42	205	0	1	0	3	27	4	10	29	9	10	2	1	0	0	0	0	59	9	0	1	1	2	1	0	35	2	265	172	3	32	0	0	0	1	0	3	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	2	0	0	0	0	0	0	2	2	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0
Zotu106	145	53	69	78	10	105	337	48	84	253	20	234	212	142	170	0	0	0	717	125	22	46	18	441	241	17	26	274	9	176	118	179	0	0	0	0	42	7	3	3	2	29	15	0	92	0	0	12	32	15	0	1	15	0	3	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	16	8	0	1	2	2	3	0	0	10	4	0	0	0	0	1	0	1	1	0	0	0	0	1	0
Zotu11158	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu43	485	25	4	24	4	4	17	3	7	30	1	1244	4	10	70	0	0	0	776	292	7	4	9	5	25	5	3	65	1	4550	2	16	0	0	0	0	268	94	16	5	7	4	16	2	15	41	136	18	20	577	93	19	298	1	4	13	0	3	0	0	1	0	1	0	1	1	0	1	13	0	2	7	4	0	4	5	5	0	2	3	6	1	4	3	3	2	0	2	2	1	0	3	0	0	0	0
Zotu69	271	118	369	149	1026	137	327	229	221	151	1614	80	234	162	140	0	0	0	45	23	18	61	4	25	85	1	22	38	488	13	108	46	0	0	0	0	1	0	0	6	1	1	0	0	8	0	0	3	16	5	0	2	6	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	12	0	2	5	1	0	3	0	2	2	0	1	0	2	1	0	0	1	0	0	0	0
Zotu424	433	13	12	10	4	53	26	21	10	7	16	40	11	135	12	0	0	0	6	2	3	3	1	9	24	4	2	0	0	0	2	10	0	0	0	0	0	1	0	1	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	13	0	2	1	1	0	12	0	0	12	116	8	293	2	0	42	0	0	8	0	0	0	0
Zotu48	71	2	32	143	42	13	27	8	29	8	2295	132	17	19	19	0	0	0	418	54	55	112	94	82	1022	3	14	510	2109	830	137	47	0	0	0	0	24	37	3	18	11	30	40	1	23	9	57	6	29	12	8	16	3	35	4	3	2	1	1	0	0	3	1	0	1	0	0	1	2	0	0	1	2	1	3	2	1	0	3	2	6	1	3	1	0	1	1	4	3	0	0	3	0	0	0	0
